household_email	appliance_number	manufacturer_name	model	cooktop_heat_source	oven_type	gas	electric	microwave
bhalter@zotware.com	2	Rekilantor  Group	Hapsipinan		conventional	0	0	1
ekarpin@rundofase.com	2	Rekilantor  Group	Kliwerommistor		conventional	0	1	1
cmccullan@ron-tech.com	2	Rekilantor  Group	Supsapan		convection	1	1	0
tfarrow@goodsilron.com	2	Rerobazz	Cipfropexex		conventional	0	1	0
jraymo@codehow.com	2	Rerobazz	Monglibepar		conventional	0	0	1
tpoquette@kinnamplus.com	2	Rerobazz	Monwericower	induction				
aandreason@dambase.com	2	Rerobazz	Parsipefan	gas				
aauffrey@y-corporation.com	2	Rerobazz	Parsipefan	gas	conventional	1	0	0
disenhower@y-corporation.com	2	Rerobazz	Supzapar	gas				
jrhoden@cancity.com	2	Rerobazz	Tupdimegantor		conventional	0	1	1
saquas@donquadtech.com	2	Rerobazz	Varrobeficator		convection	0	1	1
bsteffensmeier@sonron.com	2	Rerobazz	Varwerpanower	gas				
shoneywell@groovestreet.com	2	Rerobex	Supdimonentor	gas				
zsarao@treequote.com	2	Rerobex	Trutumover	electric	conventional	0	1	1
gstoltzman@kinnamplus.com	2	Rerobex	Upsapar		convection	1	0	1
gcorrington@plexzap.com	2	Rerobex	Wintanax		convection	0	1	0
bmotley@gogozoom.com	2	Rerobex	Zeesipicator	induction				
mbartolet@ganjaflex.com	2	Rerobupex  Corp.	Klidudplar	gas				
lsemidey@xx-holding.com	2	Rerobupex  Corp.	Moncadistor	gas	conventional	0	0	1
vbaltimore@rundofase.com	2	Rerobupex  Corp.	Parjubollor		conventional	0	1	1
nlizama@cancity.com	2	Rerobupex  Corp.	Partinover	gas	convection	0	1	0
agibes@dalttechnology.com	2	Rerobupex  Corp.	Tipwerpin		convection	1	1	1
mhughey@goodsilron.com	2	Resapollower Holdings	Monerex		conventional	1	1	0
rmalvin@finhigh.com	2	Resapollower Holdings	Trutumover		conventional	0	0	1
jcolaizzo@opentech.com	2	Resapollower Holdings	Varhupan		convection	1	0	1
tmirafuentes@treequote.com	2	Retinomman International Corp.	Adtanazz		convection	1	1	0
mcampain@lexiqvolax.com	2	Retinomman International Corp.	Gromunplover	radiant electric				
lasar@faxquote.com	2	Retinomman International Corp.	Supsapan		conventional	1	1	0
clayous@sunnamplex.com	2	Retinomman International Corp.	Thrusapentor	electric				
dgoldammer@ganjaflex.com	2	Retinomman International Corp.	Upbanazz	induction	conventional	0	1	1
nrauser@codehow.com	2	Retumanentor  Inc	Klitanicator		convection	0	0	1
rbiddy@dontechi.com	2	Retumanentor  Inc	Thrusapentor	electric	conventional	1	0	0
darias@zathunicon.com	2	Retumanentor  Inc	Upsapar	induction	convection	1	0	0
tklang@ron-tech.com	2	Retumanentor  Inc	Upsapimor	induction				
jgato@betatech.com	2	Retumanentor  Inc	Varhupan	radiant electric				
rsuell@singletechno.com	2	Supbanefower Holdings Corp.	Cipfropexex		conventional	1	0	0
jcampain@statholdings.com	2	Supbanefower Holdings Corp.	Cipfropexex	radiant electric	convection	0	0	1
kbatman@sumace.com	2	Supbanefower Holdings Corp.	Dopbanentor	radiant electric				
mfallick@zathunicon.com	2	Supbanefower Holdings Corp.	Endwerpinicator	electric	convection	1	1	1
mbrachle@opentech.com	2	Supbanefower Holdings Corp.	Partinover	induction				
hthyberg@zencorporation.com	2	Supbanefower Holdings Corp.	Qwifropimover	induction	conventional	0	0	1
aloader@statholdings.com	2	Supbanefower Holdings Corp.	Surtinover		convection	1	1	1
sdrymon@yearin.com	2	Supbanefower Holdings Corp.	Tuppebopentor	induction	convection	1	1	0
lfillingim@betatech.com	2	Supbanefower Holdings Corp.	Winweregicator	gas	conventional	0	0	1
wamigon@cancity.com	2	Supdimommor Direct Corp.	Adpebeficator	induction				
snayar@dambase.com	2	Supdimommor Direct Corp.	Barkilistor		conventional	1	1	1
jjeanty@zumgoity.com	2	Supkilonex	Frovenazz	induction	convection	0	1	0
hnicka@faxquote.com	2	Supkilonex	Monglibepar	induction				
bboord@betasoloin.com	2	Supkilonex	Winrobaquazz	induction	conventional	1	0	0
jgobern@bioplex.com	2	Suptanantor  Group	Rapsapower	radiant electric	convection	1	0	1
jbarfield@faxquote.com	2	Supwerpommover International Corp.	Adpebeficator	radiant electric	conventional	1	0	0
hkines@condax.com	2	Supwerpommover International Corp.	Dopvenower		conventional	1	0	1
jtagala@rantouch.com	2	Supwerpommover International Corp.	Surzapegax	gas	convection	0	0	1
conofrio@konmatfix.com	2	Supwerpommover International Corp.	Wincadamistor	induction	convection	1	1	1
zsweely@plexzap.com	2	Supwerpommover International Corp.	Zeesipazz	gas	convection	0	0	1
rlatzke@bioholding.com	2	Supzapollex		radiant electric	conventional	1	0	1
amyricks@sunnamplex.com	2	Supzapollex	Cipfropexex	gas				
tsengbusch@donware.com	2	Supzapollex	Lomrobax	electric	conventional	0	1	0
wshadrick@blackzim.com	2	Supzapollex	Supvenefazz		convection	1	1	0
ldegonia@kinnamplus.com	2	Supzapollex	Thrunipaquentor	electric	conventional	1	1	1
lbuzick@sunnamplex.com	2	Supzapollex	Upsapar	induction				
ehoogland@bioplex.com	2	Supzapollex	Upsapimor	gas	conventional	0	1	1
ahidvegi@rangreen.com	2	Surdudimor	Supfropantor		convection	0	0	1
pcronauer@scotfind.com	2	Surdudimor	Unnipackentor		conventional	1	1	0
mfrerking@groovestreet.com	2	Surdudimor	Varrobeficator	gas	conventional	0	1	0
pcorrington@finjob.com	2	Surdudimor	Wincadamistor	electric				
lwolny@doncon.com	2	Surerommazz International Company	Adfropax	radiant electric				
lsamara@lexiqvolax.com	2	Surerommazz International Company	Dopbanentor	radiant electric	convection	1	1	0
bnabours@warephase.com	2	Surerommazz International Company	Mondimaquover		conventional	1	0	0
gsuffield@funholding.com	2	Surerommazz International Company	Qwifropimover		conventional	0	1	0
cgato@streethex.com	2	Surerommazz International Company	Rapglibex		convection	0	1	1
ghamilton@zotware.com	2	Surerommazz International Company	Upsapar	gas				
cperigo@xx-zobam.com	2	Surerommazz International Company	Zeedimower	electric				
rrantanen@xx-zobam.com	2	Surfropover	Barmunedex	electric	convection	1	0	0
akitzman@zathunicon.com	2	Surfropover	Endwerpinicator	induction				
rmeinerding@green-plus.com	2	Surfropover	Lomfroponex	gas	convection	1	1	0
ddickerson@yearin.com	2	Surfropover	Monzapazz		conventional	1	1	0
scryer@konex.com	2	Surkilimentor  Company	Klizapedgantor	electric	conventional	0	0	1
lborgman@kan-code.com	2	Surkilimentor  Company	Rehupopover	electric	conventional	0	1	1
tdegonia@streethex.com	2	Surmunamex WorldWide	Emweronar		convection	1	0	0
jheimann@openlane.com	2	Surmunamex WorldWide	Lompeban	electric	conventional	1	0	1
jrestrepo@isdom.com	2	Surmunamex WorldWide	Surpickex	induction	conventional	0	1	1
rhollack@toughzap.com	2	Surmunamex WorldWide	Tipwerpin	radiant electric				
brantanen@goodsilron.com	2	Surpickazz Holdings Corp.	Adrobollor	induction				
ddrymon@inity.com	2	Surpickazz Holdings Corp.	Endwerpistor	radiant electric				
dlinahan@zotware.com	2	Surpickazz Holdings Corp.	Monerex	induction				
lcentini@betasoloin.com	2	Surpickazz Holdings Corp.	Pardimedentor		conventional	0	1	0
ldevreese@plussunin.com	2	Surpickazz Holdings Corp.	Qwiglibaquar	induction	conventional	0	1	0
chusser@domzoom.com	2	Surpickazz Holdings Corp.	Rapvenar	radiant electric				
dharoldson@fasehatice.com	2	Surpickazz Holdings Corp.	Rewerpower	induction				
eadkin@donquadtech.com	2	Surpickazz Holdings Corp.	Supdimonentor	gas	conventional	1	0	0
ecryer@funholding.com	2	Surrobin  Inc	Endsipistor		conventional	0	1	1
mdelasancha@betasoloin.com	2	Surrobin  Inc	Monzapazz		conventional	0	1	0
esteffensmeier@goodsilron.com	2	Surrobin  Inc	Qwiglibaquar	electric	conventional	1	0	0
czane@zoomit.com	2	Surwerantor International Company	Supvenar	gas	convection	0	0	1
randreason@j-texon.com	2	Surwerantor International Company	Upsapar		conventional	0	1	1
fcoody@rangreen.com	2	Surzapar WorldWide	Froglibefax	radiant electric	conventional	0	1	1
dbaltimore@zencorporation.com	2	Surzapar WorldWide	Parfropadantor	electric	convection	1	0	0
tschoeneck@j-texon.com	2	Surzapar WorldWide	Rebanax	electric	conventional	1	0	1
lwalthall@rundofase.com	2	Surzapar WorldWide	Supzapar		conventional	1	0	0
clueckenbach@treequote.com	2	Surzapar WorldWide	Truzapaquar		convection	1	1	1
hdrymon@goodsilron.com	2	Surzapar WorldWide	Upmunantor		conventional	0	1	1
dperigo@conecom.com	2	Surzapefax WorldWide	Pardimedentor	electric	convection	1	1	1
eriden@mathtouch.com	2	Surzapefax WorldWide	Qwinipamex	gas				
dalbares@rantouch.com	2	Surzapefax WorldWide	Rapvenar	radiant electric	conventional	0	0	1
kslusarski@labdrill.com	2	Surzapefax WorldWide	Surzapegax	electric				
czepp@scotfind.com	2	Surzapefax WorldWide	Tuprobanantor	induction				
jwildfong@isdom.com	2	Surzapefax WorldWide	Zeedimower	gas	convection	0	1	0
vpatak@betatech.com	2	Thrucadantor WorldWide	Dopnipefistor	induction				
mseewald@konmatfix.com	2	Thrucadantor WorldWide	Retinegan		conventional	0	1	0
rgabisi@y-corporation.com	2	Thrucadantor WorldWide	Surtinover	gas	conventional	1	0	0
rchickering@dambase.com	2	Thrucadantor WorldWide	Tuphupamin	radiant electric	convection	1	0	0
zmorasca@nam-zim.com	2	Thrujubewex			conventional	0	0	1
ksayaphon@hottechi.com	2	Thrujubewex	Adpickinazz	gas	convection	1	1	0
sbrideau@rundofase.com	2	Thrujubewex	Monzapazz	radiant electric	conventional	1	1	1
csarbacher@xx-holding.com	2	Thrujubewex	Qwiglibaquar		conventional	1	1	0
ryum@sunnamplex.com	2	Thrujubewex	Rapdudin	gas				
agleich@condax.com	2	Thrujubewex	Tupdimegantor	induction	conventional	0	1	0
jbaltimore@faxquote.com	2	Thrujubewex	Tupwerpimar		conventional	0	1	0
tperin@konex.com	2	Thrukilicex	Advenover	gas	conventional	0	1	1
wwenzinger@konmatfix.com	2	Thrukilicex	Gropickicator		conventional	0	1	1
ldopico@isdom.com	2	Thrukilicex	Haphupicator	radiant electric	conventional	1	0	1
fsemidey@dontechi.com	2	Thrukilicex	Monroban	electric	conventional	0	1	0
sberganza@betasoloin.com	2	Thrukilicex	Rapdudin	electric	conventional	0	0	1
cbevelacqua@y-corporation.com	2	Thrukilicex	Surzapegax	induction	convection	1	1	1
agudroe@singletechno.com	2	Thrukilicex	Tipkilower		conventional	1	0	0
lgobern@sunnamplex.com	2	Thrukilicex	Tuphupamin	radiant electric	conventional	1	0	0
jvenere@finjob.com	2	Thrukilicex	Varrobeficator	electric	conventional	0	1	1
kuyetake@rantouch.com	2	Tipdudonan WorldWide	Hapnipexower	electric				
jjeanty@donware.com	2	Tipdudonan WorldWide	Lomnipanower		conventional	0	1	1
msyrop@mathtouch.com	2	Tipdudonan WorldWide	Moncadistor		conventional	0	1	1
jschieler@treequote.com	2	Tipdudonan WorldWide	Moncadistor	induction	conventional	1	0	0
ghirpara@zencorporation.com	2	Tipdudonan WorldWide	Upsapar	gas	convection	0	0	1
rsuffield@year-job.com	2	Tipdudonan WorldWide	Varrobin	electric	conventional	0	1	1
kbreland@iselectrics.com	2	Tipsapentor Holdings Corp.	Haphupexistor	electric	conventional	0	0	1
dkannady@bioholding.com	2	Tipsapentor Holdings Corp.	Qwitumar		convection	0	1	0
bkaniecki@plusstrip.com	2	Tipsapentor Holdings Corp.	Tipquestistor	induction	conventional	1	0	1
ezurcher@kan-code.com	2	Tipsapentor Holdings Corp.	Varrobin	radiant electric	convection	0	1	0
mgwalthney@zencorporation.com	2	Tipsapentor Holdings Corp.	Winsipexex		convection	1	1	1
jshields@codehow.com	2	Tipsapower Direct Inc		radiant electric	conventional	1	0	1
gfrancescon@scottech.com	2	Tipsapower Direct Inc	Adpebeficator	radiant electric	convection	0	1	1
cbenimadho@funholding.com	2	Tipsapower Direct Inc	Doperan	radiant electric				
bmorasca@scottech.com	2	Tipsapower Direct Inc	Lomrobax	electric				
mshire@konmatfix.com	2	Tipsapower Direct Inc	Redudex		convection	1	0	0
fmalvin@scottech.com	2	Tipsapower Direct Inc	Supdimonentor	induction				
fiturbide@blackzim.com	2	Tipsapower Direct Inc	Suptanedgentor	radiant electric	conventional	0	1	1
lyglesias@j-texon.com	2	Tipsapower Direct Inc	Trutumover	gas	conventional	0	1	1
nkohnert@zumgoity.com	2	Trudiminower	Klidudplar	gas	conventional	1	1	1
aangalich@conecom.com	2	Trudiminower	Supsapan	radiant electric				
oisaacs@zotware.com	2	Trudiminower	Tipquestistor	electric	conventional	0	1	0
dkohnert@sumace.com	2	Trudiminower	Trujubex	gas	conventional	1	1	0
pgotter@green-plus.com	2	Trudiminower	Varrobin		conventional	1	0	1
lmodzelewski@sunnamplex.com	2	Truwerupex International Corp.	Partinover	radiant electric	conventional	0	1	1
ablunk@labdrill.com	2	Truwerupex International Corp.	Rapdimepax		conventional	0	1	1
sgehrett@ganjaflex.com	2	Truwerupex International Corp.	Retinegan	induction	conventional	1	0	0
rberganza@gogozoom.com	2	Truwerupex International Corp.	Retumamentor	induction				
ocorrio@ganjaflex.com	2	Truwerupex International Corp.	Upwerpantor		conventional	0	1	1
lbourbon@scottech.com	2	Truzapicar Direct Corp.	Intinower		conventional	0	0	1
aschmaltz@donware.com	2	Truzapicar Direct Corp.	Pardimedentor	gas	conventional	1	0	1
ctimenez@xx-holding.com	2	Truzapicar Direct Corp.	Parquestar		conventional	1	0	0
dflister@golddex.com	2	Truzapicar Direct Corp.	Qwinipamex	induction	convection	1	0	0
jdegroot@year-job.com	2	Truzapicar Direct Corp.	Zeesipicator		conventional	1	1	1
jyglesias@zathunicon.com	2	Tupdudower	Dopbanentor	electric	conventional	0	0	1
cgato@statholdings.com	2	Tupdudower	Fropebicator		conventional	0	1	1
akalafatis@hottechi.com	2	Tupdudower	Surtumanex	gas				
lbitsuie@doncon.com	2	Tupfropantor	Adkilor	radiant electric				
ayglesias@stanredtax.com	2	Tupfropantor	Cipzapar	gas	conventional	1	0	0
alawler@streethex.com	2	Tupfropantor	Emsipackex	induction	conventional	0	1	1
wkarpel@finjob.com	2	Tupfropantor	Hapwerex		convection	0	1	1
cfrerking@rantouch.com	2	Tupfropantor	Monbanicator		conventional	1	1	0
jlapage@opentech.com	2	Tupfropantor	Qwiglibaquar	induction				
vauber@domzoom.com	2	Tupfropantor	Rapsipower		conventional	0	0	1
eschmierer@mathtouch.com	2	Tupfropantor	Trutumover	electric				
lmugnolo@hottechi.com	2	Tupfropantor	Varwerpanower	radiant electric	conventional	0	1	1
wloder@doncon.com	2	Tuppickin	Adpebeficator		convection	1	1	1
cwalthall@newex.com	2	Tuppickin	Gromunplover		conventional	0	0	1
gmontezuma@condax.com	2	Tuppickin	Grosapower	gas	conventional	0	1	0
msuell@kinnamplus.com	2	Tuppickin	Thrurobimicator	gas	conventional	0	0	1
bleto@zathunicon.com	2	Tuppickin	Trutumover		conventional	0	0	1
randreason@statholdings.com	2	Tuppickin	Tuphupamin	induction	conventional	0	1	0
gmeinerding@sumace.com	2	Tuppickor	Doperan	electric				
syglesias@donware.com	2	Tuppickor	Frorobistor	electric	convection	1	1	0
vestell@konex.com	2	Tuppickor	Surtumanex	radiant electric	conventional	1	0	0
cshinko@mathtouch.com	2	Tuppickor	Varsapanin	electric	conventional	1	1	1
mkusko@finjob.com	2	Tupquestentor	Cipfropexex		conventional	1	0	1
itjepkema@rangreen.com	2	Tupquestentor	Rapsipower		convection	0	0	1
mlipke@scottech.com	2	Tupquestentor	Zeedimower		conventional	0	1	0
vplumer@rundofase.com	2	Tuprobollicator WorldWide	Monglibepar		conventional	0	1	1
khughey@plussunin.com	2	Tuprobollicator WorldWide	Parglibover		convection	1	0	1
dmonarrez@yearin.com	2	Tuprobollicator WorldWide	Zeesipicator	gas				
dpontoriero@zotware.com	2	Tupvenax Direct	Klitumover	electric	conventional	1	1	0
lkoppinger@dontechi.com	2	Tupvenax Direct	Mondudax		conventional	1	1	0
kcryer@donquadtech.com	2	Tupvenax Direct	Tuprobedan		convection	1	1	1
abourbon@sumace.com	2	Tupvenax Direct	Varhupan	electric	convection	1	1	0
lkannady@lexiqvolax.com	2	Tupwerower  Company	Cipfropexex	radiant electric	convection	1	1	0
vferrario@hatfan.com	2	Tupwerower  Company	Endsipistor		conventional	0	0	1
rbarfield@zotware.com	2	Tupwerower  Company	Tuppebopentor		conventional	1	0	1
bborgman@dalttechnology.com	2	Tupwerower  Company	Winsipexex	electric	conventional	1	0	1
cauffrey@sonron.com	2	Unbanollentor WorldWide Group	Cipfropexex		conventional	1	0	0
mdegonia@mathtouch.com	2	Unbanollentor WorldWide Group	Endwerpinicator	radiant electric				
rmorasca@scotfind.com	2	Unbanollentor WorldWide Group	Haphupicator	induction	conventional	1	0	1
aschemmer@funholding.com	2	Unbanollentor WorldWide Group	Lomerplantor	radiant electric				
lmaillard@zathunicon.com	2	Unbanollentor WorldWide Group	Lomrobax	gas				
mpaskin@gogozoom.com	2	Unbanollentor WorldWide Group	Lomtinex	induction	conventional	0	1	1
kmondella@ron-tech.com	2	Unbanollentor WorldWide Group	Monerex		convection	1	0	1
csuell@treequote.com	2	Unbanollentor WorldWide Group	Unnipackentor		conventional	1	1	0
aherritt@lexiqvolax.com	2	Unjubar International Group	Adkilor		convection	0	0	1
sbuemi@lexiqvolax.com	2	Unjubar International Group	Barmunedex	electric	convection	1	1	0
anewville@bioholding.com	2	Unjubar International Group	Fropebicator		conventional	1	1	0
rkines@faxquote.com	2	Unjubar International Group	Hapnipexower		convection	1	0	0
ashinko@opentech.com	2	Unjubar International Group	Lomerplantor		conventional	0	0	1
wcorbley@treequote.com	2	Unjubar International Group	Parrobazz	induction	convection	0	1	0
emallett@finjob.com	2	Unjubar International Group	Rehupopover		conventional	0	1	0
gamyot@nam-zim.com	2	Unjubar International Group	Supericator		conventional	0	1	1
cjuhas@year-job.com	2	Unjubar International Group	Thrumunonax		conventional	1	0	1
cschirpke@warephase.com	2	Unjubar International Group	Tipquestistor		convection	1	0	0
lferencz@rundofase.com	2	Unjubar International Group	Zeedudommover		convection	0	1	1
tshields@cancity.com	2	Unmunilar Holdings	Grosapower	gas	conventional	0	1	1
tlatzke@sonron.com	2	Unmunilar Holdings	Parfropadantor		convection	0	1	1
crentfro@plussunin.com	2	Unmunilar Holdings	Rebanax		conventional	1	1	0
jlabreche@kan-code.com	2	Unmunilar Holdings	Revenollan	gas	convection	1	1	0
dsamara@zathunicon.com	2	Unmunilar Holdings	Tipwerpin		convection	0	0	1
sgreenbush@plusstrip.com	2	Unmunilar Holdings	Varrobeficator		conventional	1	0	1
dsama@silis.com	2	Unnipplentor International	Ciperplax		convection	1	1	1
dhusser@streethex.com	2	Unnipplentor International	Parhupar	gas	conventional	0	1	1
awesterbeck@gogozoom.com	2	Unpebexower	Rapwerex		conventional	1	0	1
csuell@blackzim.com	2	Unpebexower	Rebanax	radiant electric				
kgibes@hatfan.com	2	Unpebexower	Upsapimor	gas	convection	1	0	0
dschmierer@sumace.com	2	Unpebexower	Winwerpan		convection	0	1	1
yvizarro@faxquote.com	2	Unsipedover WorldWide	Adtanazz	radiant electric	conventional	0	1	0
karias@bioholding.com	2	Unsipedover WorldWide	Dopvenower	radiant electric				
myaw@year-job.com	2	Unsipedover WorldWide	Emkililin	induction				
bsteffensmeier@gogozoom.com	2	Unsipedover WorldWide	Monglibepar		conventional	0	0	1
rfillingim@plussunin.com	2	Unsipedover WorldWide	Partinover	gas	conventional	1	1	0
lkiel@stanredtax.com	2	Unsipedover WorldWide	Varwerpanower	gas				
jdorshorst@sumace.com	2	Unwerinan Direct	Revenex	induction	conventional	0	1	1
dhamilton@sonron.com	2	Unwerinan Direct	Thrunipaquentor	electric	conventional	0	0	1
bpinilla@singletechno.com	2	Unwerinan Direct	Upbanazz	gas				
dregusters@konmatfix.com	2	Unwerpilax Holdings Group	Endwerpistor	radiant electric	conventional	1	0	1
dkohl@iselectrics.com	2	Unwerpilax Holdings Group	Intinower	induction	conventional	0	1	0
ccandlish@kan-code.com	2	Unwerpilax Holdings Group	Invenor		conventional	1	0	1
awrinkles@streethex.com	2	Unwerpilax Holdings Group	Parglibover		conventional	1	0	0
hdrymon@codehow.com	2	Unwerpilax Holdings Group	Qwitumar	electric	conventional	1	1	0
slacovara@zencorporation.com	2	Unwerpilax Holdings Group	Supbanantor		conventional	1	1	0
kjayson@stanredtax.com	2	Unwerpilax Holdings Group	Tupwerpimar	electric	conventional	0	1	0
csamara@sumace.com	2	Unwerpilax Holdings Group	Updudistor	induction	conventional	1	1	1
mbennick@isdom.com	2	Unwerpilax Holdings Group	Upmunantor		conventional	1	0	0
arochin@silis.com	2	Unwerpilax Holdings Group	Wincadamistor	radiant electric				
mkohnert@zoomit.com	2	Unzapicicator Holdings	Barkilentor		conventional	1	1	1
cdegroot@y-corporation.com	2	Upjubazz Direct Company		electric				
lkorando@fasehatice.com	2	Upjubazz Direct Company	Advenover	radiant electric	conventional	0	0	1
ytolfree@ron-tech.com	2	Upjubazz Direct Company	Qwinipamex	induction	conventional	1	0	1
kfrankel@goodsilron.com	2	Upjubazz Direct Company	Tupwerpimar	induction				
pmartabano@domzoom.com	2	Upjubazz Direct Company	Windimower	radiant electric	conventional	1	0	0
nmaillard@fasehatice.com	2	Upkilex Holdings	Suptanedgentor		conventional	0	1	1
sarias@zencorporation.com	2	Upkilex Holdings	Tuppebopentor	induction	conventional	1	1	1
aradde@singletechno.com	2	Upkilex WorldWide Group		electric	conventional	1	0	1
gcronauer@groovestreet.com	2	Upkilex WorldWide Group		radiant electric				
nvanausdal@doncon.com	2	Upkilex WorldWide Group	Advenover	induction	conventional	1	1	1
ehidvegi@sonron.com	2	Upkilex WorldWide Group	Froglibefax	induction				
tbowley@rantouch.com	2	Upkilex WorldWide Group	Unnipackentor	gas	conventional	1	0	0
fboulter@groovestreet.com	2	Upkilex WorldWide Group	Winrobaquazz	electric	conventional	0	1	1
czane@kan-code.com	2	Upquestanan  Company	Grosapower	induction				
fkannady@labdrill.com	2	Upquestanan  Company	Monerex		conventional	0	0	1
khagele@singletechno.com	2	Upquestanan  Company	Tuphupamin	electric	convection	1	0	1
hlizama@condax.com	2	Upquestanan  Company	Tuprobanantor	radiant electric	conventional	1	1	1
rbourbon@cancity.com	2	Upquestanan  Company	Untumover		conventional	1	1	0
anievas@warephase.com	2	Uprobar	Fropebicator		conventional	0	1	0
gthreets@sumace.com	2	Uprobar	Monsipommistor	electric				
jmai@mathtouch.com	2	Uprobar	Monzapazz	radiant electric	conventional	0	1	0
mostrosky@rantouch.com	2	Uprobar	Parrobor	gas	conventional	1	0	1
hcloney@groovestreet.com	2	Uprobar	Supericator		conventional	0	0	1
jmaybury@scotfind.com	2	Uprobax International Group	Hapsipinan	electric	conventional	0	1	0
cwildfong@treequote.com	2	Uprobax International Group	Haptanupantor		conventional	1	0	1
mwaymire@finjob.com	2	Uprobax International Group	Surzapegax	induction				
ctoelkes@singletechno.com	2	Uprobax International Group	Tupdimantor	radiant electric	convection	1	0	1
alimmel@ron-tech.com	2	Uprobax International Group	Winjubexentor	induction	conventional	0	1	0
cblunk@codehow.com	2	Uprobax International Group	Winsipexex	gas				
erhymes@isdom.com	2	Uptanistor WorldWide Company		gas	conventional	1	0	0
jrhoden@yearin.com	2	Uptanistor WorldWide Company	Supfropantor		convection	1	0	1
cleto@cancity.com	2	Uptanistor WorldWide Company	Supsapan		conventional	1	1	0
cbreland@y-corporation.com	2	Uptumin International Inc		electric	conventional	1	0	0
lestell@sunnamplex.com	2	Uptumin International Inc	Haptanupantor		conventional	0	1	1
askulski@zumgoity.com	2	Uptumin International Inc	Parfropadantor	radiant electric				
tkohl@inity.com	2	Uptumin International Inc	Rapwerex	electric	conventional	0	1	1
acaiafa@donware.com	2	Uptumin International Inc	Uncadax		conventional	0	1	1
chalsey@sumace.com	2	Uptumin International Inc	Varrobin		convection	0	1	1
ssteffensmeier@year-job.com	2	Uptumin International Inc	Winnipilover	induction				
kmirafuentes@silis.com	2	Upweror WorldWide Corp.	Monroban		conventional	1	1	1
dhoa@rantouch.com	2	Upweror WorldWide Corp.	Tupwerpimar	electric				
jliukko@isdom.com	2	Upweror WorldWide Corp.	Upwerpantor		convection	1	1	1
dnachor@statholdings.com	2	Upweror WorldWide Corp.	Varsapanin	radiant electric				
rweight@betatech.com	2	Varbanonicator	Cipzapar	radiant electric	conventional	0	1	1
swardrip@konex.com	2	Varbanonicator	Grosapower		conventional	1	0	0
gpugh@sumace.com	2	Varbanonicator	Groweran		convection	0	1	0
ymcnease@conecom.com	2	Varcadilax Direct	Kliwerommistor		conventional	1	1	0
aankeny@zoomit.com	2	Varcadilax Direct	Rebanax		conventional	0	1	1
jcorrio@year-job.com	2	Varcadilax Direct	Tuppebopentor	induction	convection	1	0	1
sblunk@zoomit.com	2	Varerefin WorldWide	Barkilistor	radiant electric	conventional	0	1	0
vschieler@opentech.com	2	Varerefin WorldWide	Grosapower		conventional	1	1	0
cdaufeldt@konmatfix.com	2	Varerefin WorldWide	Haphupicator		conventional	1	1	0
tlace@dambase.com	2	Varerefin WorldWide	Monkilax	induction				
ckeetch@hatfan.com	2	Varerefin WorldWide	Parrobazz		conventional	1	1	0
cnicka@kan-code.com	2	Varerefin WorldWide	Tipkilover	induction				
hfarrar@treequote.com	2	Varerefin WorldWide	Unbanover	gas	conventional	1	1	1
dfredicks@goodsilron.com	2	Varerefin WorldWide	Zeedimower	induction	conventional	0	0	1
calbares@zumgoity.com	2	Varfropanax Holdings Corp.	Barkilentor	gas				
bhagele@plexzap.com	2	Varfropanax Holdings Corp.	Barwerpilistor		conventional	1	1	1
fsuell@openlane.com	2	Varfropanax Holdings Corp.	Cipdudinan		conventional	0	1	0
eestell@lexiqvolax.com	2	Varfropanax Holdings Corp.	Cipzapar	induction	conventional	0	0	1
ltoyama@hottechi.com	2	Varfropanax Holdings Corp.	Emsipackex	radiant electric				
jahle@bioholding.com	2	Varfropanax Holdings Corp.	Mondudax	induction	conventional	1	1	1
alinahan@zencorporation.com	2	Varfropanax Holdings Corp.	Rapdudin	radiant electric	conventional	1	0	0
lgobern@conecom.com	2	Varfropanax Holdings Corp.	Rejubefistor	gas	convection	0	1	1
cangalich@golddex.com	2	Varfropanax Holdings Corp.	Retinegan	electric	conventional	1	1	1
jhalter@cancity.com	2	Varfropanax Holdings Corp.	Thrunipaquentor	electric				
rworlds@warephase.com	2	Varnipantor Holdings	Rapdimepax	electric	conventional	0	0	1
ccolla@fasehatice.com	2	Varnipantor Holdings	Retumamentor		convection	1	0	1
alary@domzoom.com	2	Varpebewicator Direct	Emsipackex	electric	conventional	1	1	1
hhochard@kinnamplus.com	2	Varpebewicator Direct	Emweronar	induction				
tbrideau@donware.com	2	Varpebewicator Direct	Endsipistor		convection	1	0	0
shauenstein@zoomit.com	2	Varpebewicator Direct	Endwerpinicator	electric	conventional	1	0	0
khidvegi@plussunin.com	2	Varpebewicator Direct	Gropickicator	induction	convection	1	0	1
dreiber@golddex.com	2	Varpebewicator Direct	Mondimaquover		conventional	1	0	1
coles@nam-zim.com	2	Varpebewicator Direct	Supbanantor		conventional	1	1	0
jbevelacqua@zencorporation.com	2	Varpebewicator Direct	Tipbanommax		conventional	0	0	1
dlayous@ganjaflex.com	2	Varpebewicator Direct	Tupcadommistor	radiant electric				
sdallen@yearin.com	2	Varpebewicator Direct	Untumover	radiant electric	convection	0	0	1
gyum@rangreen.com	2	Varquestentor Direct	Monglibepar		conventional	0	0	1
sleto@goodsilron.com	2	Varquestentor Direct	Parglibover		conventional	0	1	1
